Mode,Mode Name,Character,Tier,Rating,Role,URL
MoC,Memory of Chaos,Acheron,T1,8.0,DPS,/star-rail/characters/acheron
MoC,Memory of Chaos,Aglaea,T0.5,9.0,DPS,/star-rail/characters/aglaea
MoC,Memory of Chaos,Anaxa,T0,10.0,DPS,/star-rail/characters/anaxa
MoC,Memory of Chaos,Archer,T0,10.0,DPS,/star-rail/characters/archer
MoC,Memory of Chaos,Argenti,T1.5,7.0,SUPPORT DPS,/star-rail/characters/argenti
MoC,Memory of Chaos,Arlan,T5,1.0,DPS,/star-rail/characters/arlan
MoC,Memory of Chaos,Asta,T4,2.0,SUPPORT,/star-rail/characters/asta
MoC,Memory of Chaos,Aventurine,T0.5,9.0,SUSTAIN,/star-rail/characters/aventurine
MoC,Memory of Chaos,Bailu,T3,4.0,SUSTAIN,/star-rail/characters/bailu
MoC,Memory of Chaos,Black Swan,T0.5,9.0,SUPPORT DPS,/star-rail/characters/black-swan
MoC,Memory of Chaos,Blade,T1,8.0,DPS,/star-rail/characters/blade
MoC,Memory of Chaos,Boothill,T2,6.0,DPS,/star-rail/characters/boothill
MoC,Memory of Chaos,Bronya,T0.5,9.0,SUPPORT,/star-rail/characters/bronya
MoC,Memory of Chaos,Castorice,T0,10.0,DPS,/star-rail/characters/castorice
MoC,Memory of Chaos,Cerydra,T0,10.0,SUPPORT,/star-rail/characters/cerydra
MoC,Memory of Chaos,Cipher,T0.5,9.0,SUPPORT,/star-rail/characters/cipher
MoC,Memory of Chaos,Clara,T3,4.0,DPS,/star-rail/characters/clara
MoC,Memory of Chaos,Dan Heng,T5,1.0,DPS,/star-rail/characters/dan-heng
MoC,Memory of Chaos,Dan Heng • Imbibitor Lunae,T0,10.0,SUSTAIN,/star-rail/characters/dan-heng-permansor-terrae
MoC,Memory of Chaos,Dr. Ratio,T4,2.0,DPS,/star-rail/characters/dr-ratio
MoC,Memory of Chaos,Feixiao,T1,8.0,DPS,/star-rail/characters/feixiao
MoC,Memory of Chaos,Firefly,T1.5,7.0,DPS,/star-rail/characters/firefly
MoC,Memory of Chaos,Fu Xuan,T1.5,7.0,SUSTAIN,/star-rail/characters/fu-xuan
MoC,Memory of Chaos,Gallagher,T0.5,9.0,SUSTAIN,/star-rail/characters/gallagher
MoC,Memory of Chaos,Gepard,T4,2.0,SUSTAIN,/star-rail/characters/gepard
MoC,Memory of Chaos,Guinaifen,T4,2.0,SUPPORT,/star-rail/characters/guinaifen
MoC,Memory of Chaos,Hanya,T4,2.0,SUPPORT,/star-rail/characters/hanya
MoC,Memory of Chaos,Herta,T1.5,7.0,SUPPORT DPS,/star-rail/characters/herta
MoC,Memory of Chaos,Himeko,T3,4.0,DPS,/star-rail/characters/himeko
MoC,Memory of Chaos,Hook,T5,1.0,DPS,/star-rail/characters/hook
MoC,Memory of Chaos,Huohuo,T0.5,9.0,SUSTAIN,/star-rail/characters/huohuo
MoC,Memory of Chaos,Hyacine,T0,10.0,SUSTAIN,/star-rail/characters/hyacine
MoC,Memory of Chaos,Hysilens,T0,10.0,DPS,/star-rail/characters/hysilens
MoC,Memory of Chaos,Jade,T1,8.0,SUPPORT DPS,/star-rail/characters/jade
MoC,Memory of Chaos,Jiaoqiu,T1,8.0,SUPPORT,/star-rail/characters/jiaoqiu
MoC,Memory of Chaos,Jing Yuan,T2,6.0,DPS,/star-rail/characters/jing-yuan
MoC,Memory of Chaos,Jingliu,T1,8.0,DPS,/star-rail/characters/jingliu
MoC,Memory of Chaos,Kafka,T0,10.0,SUPPORT DPS,/star-rail/characters/kafka
MoC,Memory of Chaos,Lingsha,T0.5,9.0,SUSTAIN,/star-rail/characters/lingsha
MoC,Memory of Chaos,Luka,T5,1.0,DPS,/star-rail/characters/luka
MoC,Memory of Chaos,Luocha,T1,8.0,SUSTAIN,/star-rail/characters/luocha
MoC,Memory of Chaos,Lynx,T3,4.0,SUSTAIN,/star-rail/characters/lynx
MoC,Memory of Chaos,March 7Th,T5,1.0,SUSTAIN,/star-rail/characters/march-7th
MoC,Memory of Chaos,March 7th (Evernight),T0,10.0,DPS,/star-rail/characters/march-7th-evernight
MoC,Memory of Chaos,March 7th (Swordmaster),T1.5,7.0,SUPPORT DPS,/star-rail/characters/march-7th-swordmaster
MoC,Memory of Chaos,Misha,T5,1.0,DPS,/star-rail/characters/misha
MoC,Memory of Chaos,Moze,T2,6.0,SUPPORT DPS,/star-rail/characters/moze
MoC,Memory of Chaos,Mydei,T0.5,9.0,DPS,/star-rail/characters/mydei
MoC,Memory of Chaos,Natasha,T5,1.0,SUSTAIN,/star-rail/characters/natasha
MoC,Memory of Chaos,Pela,T2,6.0,SUPPORT,/star-rail/characters/pela
MoC,Memory of Chaos,Phainon,T0,10.0,DPS,/star-rail/characters/phainon
MoC,Memory of Chaos,Qingque,T5,1.0,DPS,/star-rail/characters/qingque
MoC,Memory of Chaos,Rappa,T1.5,7.0,DPS,/star-rail/characters/rappa
MoC,Memory of Chaos,Robin,T0.5,9.0,SUPPORT,/star-rail/characters/robin
MoC,Memory of Chaos,Ruan Mei,T0.5,9.0,SUPPORT,/star-rail/characters/ruan-mei
MoC,Memory of Chaos,Saber,T0.5,9.0,DPS,/star-rail/characters/saber
MoC,Memory of Chaos,Sampo,T5,1.0,SUPPORT DPS,/star-rail/characters/sampo
MoC,Memory of Chaos,Seele,T4,2.0,DPS,/star-rail/characters/seele
MoC,Memory of Chaos,Serval,T2,6.0,SUPPORT DPS,/star-rail/characters/serval
MoC,Memory of Chaos,Silver Wolf,T1,8.0,SUPPORT,/star-rail/characters/silver-wolf
MoC,Memory of Chaos,Sparkle,T0.5,9.0,SUPPORT,/star-rail/characters/sparkle
MoC,Memory of Chaos,Sunday,T0,10.0,SUPPORT,/star-rail/characters/sunday
MoC,Memory of Chaos,Sushang,T5,1.0,DPS,/star-rail/characters/sushang
MoC,Memory of Chaos,The Herta,T0.5,9.0,DPS,/star-rail/characters/the-herta
MoC,Memory of Chaos,Tingyun,T1,8.0,SUPPORT,/star-rail/characters/tingyun
MoC,Memory of Chaos,Tingyun Fugue,T1.5,7.0,SUPPORT,/star-rail/characters/tingyun-fugue
MoC,Memory of Chaos,Topaz,T1,8.0,SUPPORT DPS,/star-rail/characters/topaz
MoC,Memory of Chaos,Trailblazer (Destruction),T5,1.0,DPS,/star-rail/characters/trailblazer-destruction
MoC,Memory of Chaos,Trailblazer (Harmony),T2,6.0,SUPPORT,/star-rail/characters/trailblazer-harmony
MoC,Memory of Chaos,Trailblazer (Preservation),T5,1.0,SUSTAIN,/star-rail/characters/trailblazer-preservation
MoC,Memory of Chaos,Trailblazer (Remembrance),T0,10.0,SUPPORT,/star-rail/characters/trailblazer-remembrance
MoC,Memory of Chaos,Tribbie,T0,10.0,SUPPORT,/star-rail/characters/tribbie
MoC,Memory of Chaos,Welt,T5,1.0,SUPPORT DPS,/star-rail/characters/welt
MoC,Memory of Chaos,Xueyi,T5,1.0,DPS,/star-rail/characters/xueyi
MoC,Memory of Chaos,Yanqing,T5,1.0,DPS,/star-rail/characters/yanqing
MoC,Memory of Chaos,Yukong,T5,1.0,SUPPORT,/star-rail/characters/yukong
MoC,Memory of Chaos,Yunli,T1,8.0,DPS,/star-rail/characters/yunli
PF,Pure Fiction,Acheron,T1,8.0,DPS,/star-rail/characters/acheron
PF,Pure Fiction,Aglaea,T1.5,7.0,DPS,/star-rail/characters/aglaea
PF,Pure Fiction,Anaxa,T0.5,9.0,DPS,/star-rail/characters/anaxa
PF,Pure Fiction,Archer,T4,2.0,DPS,/star-rail/characters/archer
PF,Pure Fiction,Argenti,T1,8.0,SUPPORT DPS,/star-rail/characters/argenti
PF,Pure Fiction,Arlan,T5,1.0,DPS,/star-rail/characters/arlan
PF,Pure Fiction,Asta,T5,1.0,SUPPORT,/star-rail/characters/asta
PF,Pure Fiction,Aventurine,T0.5,9.0,SUSTAIN,/star-rail/characters/aventurine
PF,Pure Fiction,Bailu,T3,4.0,SUSTAIN,/star-rail/characters/bailu
PF,Pure Fiction,Black Swan,T0.5,9.0,SUPPORT DPS,/star-rail/characters/black-swan
PF,Pure Fiction,Blade,T1,8.0,DPS,/star-rail/characters/blade
PF,Pure Fiction,Boothill,T5,1.0,DPS,/star-rail/characters/boothill
PF,Pure Fiction,Bronya,T1,8.0,SUPPORT,/star-rail/characters/bronya
PF,Pure Fiction,Castorice,T0,10.0,DPS,/star-rail/characters/castorice
PF,Pure Fiction,Cerydra,T0.5,9.0,SUPPORT,/star-rail/characters/cerydra
PF,Pure Fiction,Cipher,T0.5,9.0,SUPPORT,/star-rail/characters/cipher
PF,Pure Fiction,Clara,T3,4.0,DPS,/star-rail/characters/clara
PF,Pure Fiction,Dan Heng,T5,1.0,DPS,/star-rail/characters/dan-heng
PF,Pure Fiction,Dan Heng • Imbibitor Lunae,T0.5,9.0,SUSTAIN,/star-rail/characters/dan-heng-permansor-terrae
PF,Pure Fiction,Dr. Ratio,T5,1.0,DPS,/star-rail/characters/dr-ratio
PF,Pure Fiction,Feixiao,T3,4.0,DPS,/star-rail/characters/feixiao
PF,Pure Fiction,Firefly,T3,4.0,DPS,/star-rail/characters/firefly
PF,Pure Fiction,Fu Xuan,T1,8.0,SUSTAIN,/star-rail/characters/fu-xuan
PF,Pure Fiction,Gallagher,T1,8.0,SUSTAIN,/star-rail/characters/gallagher
PF,Pure Fiction,Gepard,T4,2.0,SUSTAIN,/star-rail/characters/gepard
PF,Pure Fiction,Guinaifen,T4,2.0,SUPPORT,/star-rail/characters/guinaifen
PF,Pure Fiction,Hanya,T5,1.0,SUPPORT,/star-rail/characters/hanya
PF,Pure Fiction,Herta,T0.5,9.0,SUPPORT DPS,/star-rail/characters/herta
PF,Pure Fiction,Himeko,T3,4.0,DPS,/star-rail/characters/himeko
PF,Pure Fiction,Hook,T5,1.0,DPS,/star-rail/characters/hook
PF,Pure Fiction,Huohuo,T0.5,9.0,SUSTAIN,/star-rail/characters/huohuo
PF,Pure Fiction,Hyacine,T0,10.0,SUSTAIN,/star-rail/characters/hyacine
PF,Pure Fiction,Hysilens,T0,10.0,DPS,/star-rail/characters/hysilens
PF,Pure Fiction,Jade,T0,10.0,SUPPORT DPS,/star-rail/characters/jade
PF,Pure Fiction,Jiaoqiu,T1,8.0,SUPPORT,/star-rail/characters/jiaoqiu
PF,Pure Fiction,Jing Yuan,T1.5,7.0,DPS,/star-rail/characters/jing-yuan
PF,Pure Fiction,Jingliu,T2,6.0,DPS,/star-rail/characters/jingliu
PF,Pure Fiction,Kafka,T0,10.0,SUPPORT DPS,/star-rail/characters/kafka
PF,Pure Fiction,Lingsha,T0.5,9.0,SUSTAIN,/star-rail/characters/lingsha
PF,Pure Fiction,Luka,T5,1.0,DPS,/star-rail/characters/luka
PF,Pure Fiction,Luocha,T1,8.0,SUSTAIN,/star-rail/characters/luocha
PF,Pure Fiction,Lynx,T3,4.0,SUSTAIN,/star-rail/characters/lynx
PF,Pure Fiction,March 7Th,T5,1.0,SUSTAIN,/star-rail/characters/march-7th
PF,Pure Fiction,March 7th (Evernight),T0,10.0,DPS,/star-rail/characters/march-7th-evernight
PF,Pure Fiction,March 7th (Swordmaster),T4,2.0,SUPPORT DPS,/star-rail/characters/march-7th-swordmaster
PF,Pure Fiction,Misha,T5,1.0,DPS,/star-rail/characters/misha
PF,Pure Fiction,Moze,T5,1.0,SUPPORT DPS,/star-rail/characters/moze
PF,Pure Fiction,Mydei,T1,8.0,DPS,/star-rail/characters/mydei
PF,Pure Fiction,Natasha,T5,1.0,SUSTAIN,/star-rail/characters/natasha
PF,Pure Fiction,Pela,T1.5,7.0,SUPPORT,/star-rail/characters/pela
